id;date;value
Ken Rosewall;01-06-68;1
Ken Rosewall;01-07-68;1
Ken Rosewall;01-09-68;1
Ken Rosewall;01-01-69;1
Ken Rosewall;01-06-69;1
Ken Rosewall;01-07-69;1
Ken Rosewall;01-09-69;1
Ken Rosewall;01-01-70;1
Ken Rosewall;01-06-70;1
Ken Rosewall;01-07-70;1
Ken Rosewall;01-09-70;2
Ken Rosewall;01-01-71;3
Ken Rosewall;01-06-71;3
Ken Rosewall;01-07-71;3
Ken Rosewall;01-09-71;3
Ken Rosewall;01-01-72;4
Ken Rosewall;01-06-72;4
Ken Rosewall;01-07-72;4
Ken Rosewall;01-09-72;4
Ken Rosewall;01-01-73;4
Ken Rosewall;01-06-73;4
Ken Rosewall;01-07-73;4
Ken Rosewall;01-09-73;4
Ken Rosewall;01-01-74;4
Ken Rosewall;01-06-74;4
Ken Rosewall;01-07-74;4
Ken Rosewall;01-09-74;4
Ken Rosewall;01-01-75;4
Ken Rosewall;01-06-75;4
Ken Rosewall;01-07-75;4
Ken Rosewall;01-09-75;4
Ken Rosewall;01-01-76;4
Ken Rosewall;01-06-76;4
Ken Rosewall;01-07-76;4
Ken Rosewall;01-09-76;4
Ken Rosewall;01-01-77;4
Ken Rosewall;01-06-77;4
Ken Rosewall;01-07-77;4
Ken Rosewall;01-09-77;4
Ken Rosewall;01-12-77;4
Ken Rosewall;01-06-78;4
Ken Rosewall;01-07-78;4
Ken Rosewall;01-09-78;4
Ken Rosewall;01-12-78;4
Ken Rosewall;01-06-79;4
Ken Rosewall;01-07-79;4
Ken Rosewall;01-09-79;4
Ken Rosewall;01-12-79;4
Ken Rosewall;01-06-80;4
Ken Rosewall;01-07-80;4
Ken Rosewall;01-09-80;4
Ken Rosewall;01-12-80;4
Ken Rosewall;01-06-81;4
Ken Rosewall;01-07-81;4
Ken Rosewall;01-09-81;4
Ken Rosewall;01-12-81;4
Ken Rosewall;01-06-82;4
Ken Rosewall;01-07-82;4
Ken Rosewall;01-09-82;4
Ken Rosewall;01-12-82;4
Ken Rosewall;01-06-83;4
Ken Rosewall;01-07-83;4
Ken Rosewall;01-09-83;4
Ken Rosewall;01-12-83;4
Ken Rosewall;01-06-84;4
Ken Rosewall;01-07-84;4
Ken Rosewall;01-09-84;4
Ken Rosewall;01-12-84;4
Ken Rosewall;01-06-85;4
Ken Rosewall;01-07-85;4
Ken Rosewall;01-09-85;4
Ken Rosewall;01-12-85;4
Ken Rosewall;01-06-86;4
Ken Rosewall;01-07-86;4
Ken Rosewall;01-09-86;4
Ken Rosewall;01-01-87;4
Ken Rosewall;01-06-87;4
Ken Rosewall;01-07-87;4
Ken Rosewall;01-09-87;4
Ken Rosewall;01-01-88;4
Ken Rosewall;01-06-88;4
Ken Rosewall;01-07-88;4
Ken Rosewall;01-09-88;4
Ken Rosewall;01-01-89;4
Ken Rosewall;01-06-89;4
Ken Rosewall;01-07-89;4
Ken Rosewall;01-09-89;4
Ken Rosewall;01-01-90;4
Ken Rosewall;01-06-90;4
Ken Rosewall;01-07-90;4
Ken Rosewall;01-09-90;4
Ken Rosewall;01-01-91;4
Ken Rosewall;01-06-91;4
Ken Rosewall;01-07-91;4
Ken Rosewall;01-09-91;4
Ken Rosewall;01-01-92;4
Ken Rosewall;01-06-92;4
Ken Rosewall;01-07-92;4
Ken Rosewall;01-09-92;4
Ken Rosewall;01-01-93;4
Ken Rosewall;01-06-93;4
Ken Rosewall;01-07-93;4
Ken Rosewall;01-09-93;4
Ken Rosewall;01-01-94;4
Ken Rosewall;01-06-94;4
Ken Rosewall;01-07-94;4
Ken Rosewall;01-09-94;4
Ken Rosewall;01-01-95;4
Ken Rosewall;01-06-95;4
Ken Rosewall;01-07-95;4
Ken Rosewall;01-09-95;4
Ken Rosewall;01-01-96;4
Ken Rosewall;01-06-96;4
Ken Rosewall;01-07-96;4
Ken Rosewall;01-09-96;4
Ken Rosewall;01-01-97;4
Ken Rosewall;01-06-97;4
Ken Rosewall;01-07-97;4
Ken Rosewall;01-09-97;4
Ken Rosewall;01-01-98;4
Ken Rosewall;01-06-98;4
Ken Rosewall;01-07-98;4
Ken Rosewall;01-09-98;4
Ken Rosewall;01-01-99;4
Ken Rosewall;01-06-99;4
Ken Rosewall;01-07-99;4
Ken Rosewall;01-09-99;4
Ken Rosewall;01-01-00;4
Ken Rosewall;01-06-00;4
Ken Rosewall;01-07-00;4
Ken Rosewall;01-09-00;4
Ken Rosewall;01-01-01;4
Ken Rosewall;01-06-01;4
Ken Rosewall;01-07-01;4
Ken Rosewall;01-09-01;4
Ken Rosewall;01-01-02;4
Ken Rosewall;01-06-02;4
Ken Rosewall;01-07-02;4
Ken Rosewall;01-09-02;4
Ken Rosewall;01-01-03;4
Ken Rosewall;01-06-03;4
Ken Rosewall;01-07-03;4
Ken Rosewall;01-09-03;4
Ken Rosewall;01-01-04;4
Ken Rosewall;01-06-04;4
Ken Rosewall;01-07-04;4
Ken Rosewall;01-09-04;4
Ken Rosewall;01-01-05;4
Ken Rosewall;01-06-05;4
Ken Rosewall;01-07-05;4
Ken Rosewall;01-09-05;4
Ken Rosewall;01-01-06;4
Ken Rosewall;01-06-06;4
Ken Rosewall;01-07-06;4
Ken Rosewall;01-09-06;4
Ken Rosewall;01-01-07;4
Ken Rosewall;01-06-07;4
Ken Rosewall;01-07-07;4
Ken Rosewall;01-09-07;4
Ken Rosewall;01-01-08;4
Ken Rosewall;01-06-08;4
Ken Rosewall;01-07-08;4
Ken Rosewall;01-09-08;4
Ken Rosewall;01-01-09;4
Ken Rosewall;01-06-09;4
Ken Rosewall;01-07-09;4
Ken Rosewall;01-09-09;4
Ken Rosewall;01-01-10;4
Ken Rosewall;01-06-10;4
Ken Rosewall;01-07-10;4
Ken Rosewall;01-09-10;4
Ken Rosewall;01-01-11;4
Ken Rosewall;01-06-11;4
Ken Rosewall;01-07-11;4
Ken Rosewall;01-09-11;4
Ken Rosewall;01-01-12;4
Ken Rosewall;01-06-12;4
Ken Rosewall;01-07-12;4
Ken Rosewall;01-09-12;4
Ken Rosewall;01-01-13;4
Ken Rosewall;01-06-13;4
Ken Rosewall;01-07-13;4
